Blog	hat	traffic	begins	yours	tour	expensive	apple	parties	cd	daddy	considered	paying	checking	checked	besides	meal	character	childhood	opinion	animals	interest	rough	threw	rush	prayer	shape	colors	career	effect	marriage	bird	grass	strength	september	visiting	officially	becoming	attempt	film	society	younger	ending	background	milk	bathroom	runs	battle	bridge	period	sold	include	spoke	accept	basically	jesus	bill	island	huh	fake	angry	invited	issue	teach	whose	charge	east	creative	continued	rule	tickets	calm	correct	among	whom	sell	ring	discovered	performance	degrees	concert	base	pure	boss	response	tight	perfectly	folks	jack	honestly	midnight	aside	lake	plain	soft	bye	sand	riding	ordered	laughed	sex	answers	confused	extremely	fans	report	feed	jobs	anniversary	block	solid	blow	signs	musical	cost	nor	goodbye	flat	david	avoid	balance	ha	recommend	airport	joined	trick	progress	ear	via	throwing	evil	bringing	comfort	easter	trips	football	flight	rose	attack	enter	serve	program	lower	member	pretend	aware	forgotten	distance	tall	obvious	gifts	paul	familiar	review	edge	america	houses	likely	seven	worried	disappointed	despite	perhaps	relax	w	security	describe	pushed	offered	shots	topic	odd	damn	grab	annoying	stress	pages	teaching	celebration	giant	hurts	manage	police	bank	sometime	row	adventure	counting	burn	prepare	filling	pushing	understanding	bike	interview	president	visited	normally	holy	accident	suck	dying	typical	cell	plastic	lessons	nobody	guide	female	river	thrown	text	cookies	personally	patient	smaller	waste	french	reminds	impossible	balls	stomach	passion	letters	excitement	artist	streets	inspired	yard	knowledge	ocean	faster	leading	successful	score	ah	smoke	flash	ass	ups	passing	pride	fashion	hardly	camp	thick	blessed	mirror	saved	activity	searching	pressure	product	sigh	wave	catching	degree	wash	fail	leg	dust	central	classic	talks	neighborhood	greatest	included	sets	square	challenge	government	items	highly	grateful	experiences	struggle	plenty	forced	stone	load	bread	upset	signed	parent	drama	routine	drinks	golden	research	account	fault	lying	lift	bet	teachers	rate	painting	fever	personality	oil	complain	burning	education	rolling	walks	thin	garage	expecting	youtube	suppose	downtown	sudden	cutting	driver	option	smiling	sunny	glasses	dishes	thanksgiving	web	tend	library	buddy	granted	session	indeed	pleasure	wise	desire	bite	emotional	match	jumping	toy	quit	heads	someday	traveling	related	jumped	listened	google	screaming	concept	ugly	holds	prayers	cash	decent	sides	forth	conversations	design	toys	gas	minor	van	prefer	info	shake	channel	ignore	shirts	festival	fantastic	lets	cousins	thousand	grace	angel	media	net	videos	bands	model	fighting	wine	selling	boots	freedom	neck	creating	material	nowhere	target	button	content	lyrics	annual	exact	pulling	slide	wrapped	breaks	deserve	drunk	prove	answered	matters	bother	loose	sounded	belly	stands	limited	lonely	swing	hero	boyfriend	concerned	attitude	receive	puts	regret	professional	chest	particularly	shock	george	forgive	fancy	goodness	therefore	split	repeat	raised	popular	risk	climb	returned	clouds	attend	agreed	ability	thus	hated	promised	flower	flies	fed	delicious	directly	proper	tom	stairs	james	egg	pregnant	sadly	hearts	master	plate	remain	eggs	flip	rare	heading	vote	birds	sunshine	diet	audience	groups	hug	curious	rocks	experienced	meat	climbing	fabulous	merry	touched	laundry	truck	continues	mistake	becomes	glory	various	horse	culture	ticket	necessary	express	fallen	press	episode	vs	beer	entry	collection	crap	exercise	presence	released	reaction	male	toilet	humor	california	physical
Cause I Believe in You	4	0	10	0	5	0	6	4	0	4	2	4	1	0	5	7	5	4	3	1	1	0	0	2	2	2	6	1	2	7	2	2	3	7	3	0	1	4	5	6	1	3	2	7	2	2	1	1	1	0	0	0	3	1	5	1	0	7	0	4	4	1	3	7	2	2	3	3	3	0	10	2	13	3	0	1	10	1	12	4	0	4	0	7	2	1	6	5	1	2	2	7	3	7	6	5	3	2	2	1	2	0	0	1	1	2	3	4	0	1	1	4	0	1	5	1	2	0	5	4	4	1	1	6	2	0	2	2	1	3	1	8	8	2	1	2	2	1	4	1	1	2	2	0	1	1	1	6	1	6	8	6	0	6	3	3	0	13	0	1	1	6	4	4	1	2	1	5	1	3	2	0	0	1	8	2	4	3	3	2	2	0	0	0	3	6	2	0	1	3	3	9	6	1	3	4	7	0	0	0	1	1	6	3	9	1	2	0	6	1	1	4	1	3	0	1	11	4	3	2	0	1	0	7	1	4	0	9	0	5	0	3	2	0	7	8	0	0	1	0	3	1	3	1	3	1	2	1	3	2	2	0	2	0	3	6	5	5	0	2	0	0	0	6	1	2	1	1	3	2	0	0	5	4	4	1	1	6	1	17	2	1	3	2	2	0	3	0	0	0	2	4	1	0	1	2	0	3	2	1	3	0	2	2	1	0	0	0	2	0	0	1	3	1	8	9	0	2	30	2	1	2	1	6	1	7	10	1	2	0	3	0	0	0	1	6	2	1	1	0	1	0	0	4	5	3	4	0	3	2	5	2	1	0	1	1	0	0	0	2	1	0	0	4	4	0	2	3	12	1	2	2	1	1	3	3	3	3	0	16	2	5	2	2	0	1	4	2	1	2	5	3	3	3	2	0	2	4	2	0	1	1	4	3	4	3	1	1	0	1	7	4	0	1	0	2	5	1	4	3	1	3	3	3	0	3	0	0	2	4	3	1	4	6	9	6	2	4	1	4	7	2	3	103	2	1	2	0	0	15	1	0	4	4	1	2	5	4	3	7	2	1	0	3	7	0	5	0	2	1	7	0	3	3	4	1	4	4	1	0	2	0	7	2	0	1	2	1	1	6	0	0	6	4	5	1	0	1	3	8	6
typing off-the-record	1	2	3	4	1	2	10	5	2	0	8	2	1	1	2	5	4	7	2	1	6	4	2	9	2	1	3	3	7	1	10	5	4	0	1	13	9	10	3	9	5	7	7	13	0	1	5	2	7	5	5	0	5	30	1	1	0	4	5	15	1	8	3	9	5	1	3	2	1	0	6	1	14	0	1	3	3	23	3	0	4	4	0	5	2	2	2	2	6	5	14	3	4	8	4	1	4	3	0	4	10	7	14	0	6	2	0	2	6	2	3	0	3	3	10	2	2	19	2	5	7	5	3	4	2	5	1	13	1	13	3	2	5	2	0	3	3	1	1	17	3	6	4	5	1	1	2	1	9	14	0	4	11	3	13	1	0	5	1	4	7	4	1	6	0	3	1	1	12	5	2	15	4	14	10	7	0	4	2	2	7	5	2	1	3	2	2	3	4	10	2	3	0	5	5	5	1	4	2	6	2	4	1	3	3	1	0	0	1	1	10	12	2	3	3	4	5	4	3	6	2	3	6	3	0	5	5	0	1	3	1	3	1	4	2	3	8	15	0	4	3	4	1	4	8	0	6	4	6	6	9	5	10	3	7	5	1	10	2	3	0	2	1	0	2	3	2	1	6	4	2	0	1	1	4	3	6	2	9	3	0	0	7	16	7	0	10	12	9	3	5	3	3	13	3	0	3	7	26	7	4	5	0	1	3	0	4	23	1	0	6	1	5	7	3	0	3	3	0	4	2	3	1	0	4	5	1	2	9	9	5	3	3	9	2	2	3	1	10	0	0	1	4	3	5	7	2	0	9	2	2	2	7	16	1	7	0	7	0	5	7	2	7	3	1	1	4	8	2	4	5	10	9	0	5	1	3	1	0	11	7	2	3	3	1	2	3	4	5	3	2	1	1	0	6	4	3	6	2	1	3	5	4	1	5	1	3	1	1	3	3	0	3	10	2	1	2	3	0	0	5	3	0	0	2	5	3	3	0	1	0	8	1	7	4	3	4	1	8	2	8	1	4	4	0	1	14	3	3	2	5	4	0	9	1	2	5	6	1	3	4	2	2	3	1	0	10	27	1	0	11	1	0	1	0	7	3	1	0	1	3	2	2	2	0	2	22	3	9	18	1	16	11	1	4	0	0	4	9	7	1
Evin on Earth	0	0	0	0	15	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	4	0	2	0	0	0	4	0	0	0	1	0	1	0	1	1	1	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	2	0	0	0	2	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	3	0	14	0	0	0	2	5	0	8	0	0	1	0	6	1	0	2	1	0	0	0	0	0	1	0	16	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0	0	0	1	5	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	2	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	1	0	3	1	0	0	0	2	3	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	1	3	2	0	1	0	0	0	0	6	2	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	11	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0
B a b y   F a v o r i t e	2	0	2	2	0	2	0	2	1	12	2	1	4	2	4	2	3	5	0	2	3	1	2	1	4	0	1	3	1	2	4	5	0	0	3	0	4	0	1	0	4	2	1	3	7	0	1	0	1	1	0	3	0	4	11	0	8	3	1	0	0	1	2	3	2	2	0	4	2	0	0	2	4	4	1	10	0	1	5	1	12	1	1	3	4	2	2	2	3	2	6	0	1	2	0	2	6	3	0	1	3	3	8	1	2	4	3	1	1	0	0	1	1	1	3	6	0	1	2	3	9	1	0	2	1	1	2	0	0	2	1	9	2	5	2	0	1	2	1	2	1	2	1	1	0	2	0	5	5	8	23	3	0	1	1	2	5	5	2	0	5	1	3	1	1	2	0	0	0	0	2	3	1	3	4	0	2	1	1	1	0	2	0	1	4	0	0	0	2	3	1	1	2	2	1	11	3	5	5	2	3	4	4	7	2	0	0	2	1	2	0	3	2	3	1	1	1	1	1	0	5	2	4	1	0	0	0	6	1	5	1	1	1	0	0	0	0	4	1	2	3	6	2	4	1	6	0	2	5	1	0	0	4	1	0	4	5	1	0	2	0	0	0	2	0	1	1	3	2	3	2	1	7	2	2	0	1	3	1	1	4	0	7	0	0	3	5	1	0	1	3	0	2	1	0	1	0	0	6	1	0	1	3	2	1	6	1	1	3	0	1	1	0	0	0	3	1	2	4	0	0	1	1	1	0	0	1	2	1	1	0	1	1	3	3	2	5	1	1	2	0	0	5	1	4	0	8	0	3	2	6	2	0	3	1	0	1	1	0	2	0	0	2	0	3	0	0	1	2	8	0	1	1	1	2	5	5	0	4	0	1	1	3	10	0	4	0	9	1	1	0	0	5	2	2	0	1	5	0	1	0	2	2	0	0	2	1	0	4	0	3	1	1	1	1	3	2	0	0	3	7	0	0	0	2	1	0	1	4	3	2	2	3	2	0	1	3	1	0	2	5	5	1	1	1	1	1	4	0	1	1	6	0	0	0	1	1	0	0	4	12	1	0	4	0	1	4	4	1	10	2	2	7	1	0	0	2	0	1	1	0	4	0	2	0	1	2	0	1	0	1	1	0	1	1	0	1	0	2	7	4
Jazz with Jerry Brabenec	0	1	1	4	1	1	1	0	35	2	5	1	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	3	1	0	4	1	0	15	2	0	0	3	3	4	0	2	4	0	0	1	0	2	1	0	1	0	1	1	0	5	0	0	3	0	0	1	0	2	1	2	0	0	0	0	1	1	3	1	0	1	3	11	1	16	2	1	0	2	3	0	2	2	0	0	0	8	0	1	2	0	2	0	0	0	2	0	0	1	3	0	0	0	1	1	0	2	13	0	1	0	1	5	1	2	0	2	1	1	0	2	1	1	0	1	0	1	1	1	2	0	2	1	0	1	0	2	4	0	0	0	1	0	0	1	12	1	1	0	1	0	0	1	0	0	1	4	0	0	1	0	0	1	1	1	2	1	0	0	1	2	0	0	1	0	0	0	1	0	2	1	0	6	1	2	2	1	0	0	4	0	0	0	3	0	0	0	1	0	2	2	0	0	1	0	4	0	3	0	2	1	7	0	1	0	0	0	0	1	2	1	1	3	1	0	1	0	1	3	1	0	0	0	0	4	1	2	1	10	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	5	3	0	2	2	1	3	3	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	4	0	0	1	0	0	1	0	2	0	0	1	6	0	0	2	0	1	2	0	0	4	0	4	2	1	3	0	0	2	0	0	0	13	0	11	0	1	6	0	3	0	1	0	0	2	0	0	0	1	0	0	0	3	1	3	0	2	0	1	2	0	0	1	1	0	1	0	1	4	1	0	7	2	1	0	1	5	0	0	0	2	1	1	6	3	0	2	0	0	1	0	0	1	1	0	1	0	2	0	1	5	3	1	0	1	1	0	0	0	0	0	0	1	1	0	0	2	0	0	7	1	0	1	1	1	0	0	1	0	1	1	9	0	0	0	0	0	1	2	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	7	0	4	0	0	2	0	4	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	2	0	2	1	0	3	0	0	0	0	1	0	1	1	0	1	3	1	2	5	0	9	2	2	5	0	0	2	3	0	1	0	0	1	1
Under My Skin	0	1	0	1	0	1	0	2	1	2	0	0	0	0	1	0	3	6	1	1	2	0	2	0	0	0	3	0	1	0	6	1	1	0	0	0	5	0	22	2	6	1	0	1	2	0	0	1	1	0	0	2	0	3	1	0	0	2	1	3	1	0	2	3	0	0	0	3	3	0	1	0	4	5	0	2	1	0	0	0	0	3	0	0	3	0	0	8	1	0	0	1	1	1	0	1	4	0	3	27	0	2	1	0	0	2	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	3	4	0	0	0	0	1	5	2	0	0	0	0	0	6	1	0	0	0	0	0	4	1	1	3	2	1	0	3	2	0	0	0	0	1	1	0	0	1	10	1	0	0	0	0	0	1	1	0	2	1	2	0	2	1	1	0	2	2	7	0	4	0	1	0	2	0	1	0	0	4	0	1	1	1	2	3	0	2	2	2	1	0	1	0	4	0	1	0	0	0	0	2	2	0	2	1	1	0	0	1	6	0	4	1	0	0	1	0	1	2	1	2	3	0	4	0	1	1	0	0	0	2	0	2	2	0	2	0	0	0	2	1	0	2	0	2	0	0	0	0	0	2	1	0	0	0	6	0	0	0	2	0	2	4	3	0	2	1	4	1	0	0	0	0	0	0	7	2	1	1	6	0	1	2	0	1	0	2	4	0	0	1	0	0	0	0	0	0	0	5	1	4	40	2	0	1	2	0	1	1	0	1	3	2	1	0	1	0	1	2	0	0	1	4	0	1	1	2	0	1	0	0	1	1	1	0	1	0	0	0	2	0	0	0	0	1	3	2	0	1	0	1	5	1	4	0	4	0	2	0	2	1	0	0	0	0	1	2	1	0	2	0	0	0	6	0	2	1	0	2	0	0	4	1	0	1	1	1	0	0	2	0	1	0	2	3	1	0	0	1	0	2	1	0	2	0	4	2	1	2	0	1	0	1	3	1	3	0	1	0	0	3	4	3	10	0	0	0	3	2	1	3	0	0	1	2	0	2	1	1	0	0	0	0	0	6	0	1	2	1	3	0	1	3	1	1	0	0	6	0	0	1	0	2	0	0	2	3	0	1	0	1	0	4	1	1	0	0	0	0	2	1	0	1	1	3	0	0
Mommy's Madhouse	10	1	3	5	1	2	0	3	2	37	0	1	5	3	1	2	4	0	5	4	2	3	6	1	10	1	3	0	2	2	2	10	0	4	2	4	6	0	1	0	2	4	5	6	18	12	1	2	0	1	0	1	0	1	25	2	1	1	0	5	0	2	7	0	4	0	1	5	1	1	1	3	0	0	0	8	1	2	1	0	3	1	0	4	1	0	0	0	11	1	0	1	2	1	3	8	5	1	16	0	1	2	4	3	1	2	2	3	3	0	2	1	7	5	1	4	1	1	0	0	0	0	0	2	3	2	4	3	2	1	1	0	8	4	50	0	0	0	0	3	3	1	1	4	2	5	1	6	2	6	0	1	0	2	1	3	2	0	1	0	0	0	3	4	0	3	5	3	13	0	1	0	4	2	1	0	4	2	5	1	0	0	1	0	5	6	12	0	2	0	3	8	5	1	0	2	1	1	1	0	0	4	3	2	0	3	3	1	0	1	0	15	1	3	2	0	0	4	1	4	4	0	0	4	1	1	0	14	3	1	1	3	2	2	1	1	0	0	2	0	5	3	3	21	0	18	5	2	4	1	2	0	0	3	5	0	7	0	1	0	1	0	1	11	7	1	3	0	1	0	4	2	0	2	1	0	0	5	3	0	3	2	3	1	3	3	0	0	1	2	1	1	0	3	0	9	3	4	1	2	0	0	1	5	0	7	3	0	0	0	2	0	2	1	4	3	0	5	6	0	0	2	5	2	0	0	2	5	1	1	4	1	9	5	2	5	0	4	0	3	1	0	5	0	1	4	2	0	1	1	0	2	0	8	5	0	46	0	4	5	0	1	4	1	0	3	6	1	278	5	0	0	0	0	3	4	0	1	2	2	2	0	1	1	3	6	0	0	2	5	3	9	4	1	2	1	0	2	1	0	0	2	5	1	1	1	9	2	0	10	1	2	2	1	1	3	0	1	0	0	5	1	0	0	0	3	0	1	4	1	0	1	0	2	0	6	0	1	7	2	0	1	0	1	6	2	7	17	2	1	0	5	2	4	6	2	9	4	0	7	3	1	1	5	0	9	1	0	9	5	6	1	22	4	1	0	1	3	1	3	0	1	3	0	2	0	1	2	1	1	0	0	3	0	0	0	0	0	2	1	4
Confessions of a very troubled mind.	1	1	0	1	34	3	0	1	12	0	0	3	0	1	0	0	0	0	1	1	0	0	2	0	0	1	0	2	1	0	1	0	0	2	0	0	1	0	2	1	1	1	0	2	1	0	1	0	0	2	0	0	0	11	1	4	0	0	4	3	4	1	0	0	1	1	0	1	0	5	1	2	0	0	10	1	1	0	0	1	0	0	0	4	3	0	0	0	1	0	1	1	1	0	2	0	1	2	0	3	1	1	1	3	0	0	1	0	0	2	0	2	0	1	4	0	1	0	0	1	0	1	1	1	0	0	0	0	5	1	0	1	0	0	0	5	0	1	0	1	0	0	1	3	0	1	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	2	3	0	0	4	2	1	3	0	2	0	1	0	1	0	2	0	1	2	2	1	3	2	0	0	0	0	0	0	0	2	0	1	0	1	2	3	0	0	0	1	0	0	0	0	3	0	0	2	0	2	6	1	1	1	1	0	0	2	0	1	0	0	0	2	1	1	0	4	2	1	3	3	0	2	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	0	0	4	3	0	1	2	1	1	1	2	0	1	0	0	4	1	0	1	0	0	4	2	0	2	1	16	0	1	5	0	0	0	2	0	0	0	0	2	2	0	0	2	1	1	0	0	0	0	1	0	6	1	2	0	0	0	0	0	1	0	1	0	2	4	0	0	1	1	0	0	2	1	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	4	0	1	1	0	0	1	1	0	9	0	0	1	0	4	1	2	3	4	0	1	1	3	0	1	2	20	0	0	1	3	1	0	1	1	0	1	0	0	1	3	0	1	0	0	0	0	0	20	1	0	2	2	1	0	0	0	0	1	0	2	2	0	0	0	0	1	0	2	0	0	5	0	0	0	0	0	1	0	1	1	0	1	1	2	0	0	0	0	0	0	0	0	6	0	0	11	2	0	0	2	3	1	0	3	2	0	2	1	1	0	0	0	4	1	1	1	0	0	2	1	0	0	0	0	1	0	1	0	2	4	0	0	1	1	0	1	0	0	1	0	11	0	0	0	1	0	1	2	0	1	0	9	0
JD...Actually	0	12	9	7	1	11	0	8	9	1	5	11	4	5	6	6	10	4	8	5	14	10	2	2	4	8	5	10	3	17	1	6	7	2	1	12	6	5	1	12	7	5	6	1	15	4	5	1	13	3	4	6	12	8	5	5	2	3	24	12	5	21	10	1	4	0	3	4	15	8	11	7	9	5	2	8	7	4	4	3	3	9	75	6	7	8	4	2	7	6	4	0	4	4	2	1	2	4	10	15	7	13	12	0	4	9	15	3	6	16	7	3	1	3	15	0	9	4	20	11	6	4	4	2	5	13	7	68	5	1	3	4	0	7	4	1	1	5	1	3	6	1	7	7	13	3	5	7	3	6	0	9	24	2	3	6	10	1	5	6	13	1	2	4	2	5	2	7	6	3	10	60	5	15	14	3	3	4	2	13	7	3	14	1	6	7	6	2	15	4	1	10	0	13	6	0	4	16	7	11	11	7	3	2	5	1	7	4	3	6	27	6	13	1	1	17	2	6	7	3	14	8	6	1	0	2	10	5	16	1	6	2	6	7	2	0	5	110	9	11	9	8	3	0	1	4	2	8	1	5	15	4	2	2	2	9	6	12	2	6	0	5	4	14	1	7	3	3	9	3	10	14	10	8	2	2	6	2	5	1	6	6	4	19	2	2	0	13	6	7	8	5	12	13	5	1	3	8	0	4	3	7	4	6	10	3	2	0	5	1	5	2	0	6	1	1	2	1	15	1	3	32	4	3	4	0	6	2	7	5	17	1	2	1	25	3	4	1	8	5	5	14	6	4	19	3	1	1	2	3	4	6	1	1	4	4	0	7	5	3	3	12	1	0	3	31	2	2	3	7	2	0	1	0	9	6	16	3	0	4	0	2	11	3	7	1	9	2	3	2	2	1	1	5	7	20	8	4	3	5	10	2	3	2	7	13	1	0	34	5	10	6	4	12	14	2	5	4	1	5	8	2	19	1	7	1	2	6	5	2	2	5	3	7	2	3	3	1	1	3	9	5	1	2	1	4	2	7	4	7	9	1	9	3	2	10	6	6	2	0	14	2	6	2	6	1	13	12	1	7	2	4	15	4	1	9	11	0	7	0	3	1	11	3	6	2	4	10	12	0	3	8	6	7	1	7	6	7	1	7	7
Lucy Blues	5	2	3	7	3	3	1	0	3	0	0	3	3	3	0	0	0	4	5	5	3	0	1	3	2	3	0	3	4	1	4	8	2	3	1	1	4	3	0	8	3	3	1	1	2	3	6	2	3	7	3	7	15	0	2	1	1	0	1	1	5	10	0	9	2	1	6	1	1	0	0	0	11	2	2	0	1	2	6	0	3	0	0	0	2	0	2	0	0	4	0	1	3	2	4	2	0	1	3	6	7	1	2	2	1	2	4	0	1	0	4	4	0	5	5	0	2	1	2	3	1	2	2	2	2	2	1	2	0	1	1	2	0	1	6	0	3	1	3	0	4	0	7	0	2	9	3	3	0	0	0	2	5	10	20	1	6	3	7	0	3	2	0	3	4	1	1	1	3	1	2	4	4	2	1	7	1	1	0	3	2	2	6	1	0	11	1	1	1	3	0	2	5	9	8	0	4	0	0	3	1	1	4	2	0	3	5	20	4	4	2	0	1	1	1	1	2	1	4	0	5	3	0	2	5	2	0	12	1	6	3	3	1	1	1	2	3	7	2	1	0	2	1	0	3	3	2	1	2	2	3	1	0	0	2	0	3	1	2	9	2	1	0	2	2	0	1	2	0	2	0	0	2	0	1	6	2	5	2	0	1	1	1	3	1	2	3	1	6	1	1	2	4	0	6	1	1	6	2	0	3	1	2	1	3	0	0	2	7	1	0	2	0	5	0	6	0	1	0	5	4	1	2	4	0	3	2	8	8	6	6	0	1	3	5	2	8	2	3	1	1	0	1	0	1	1	2	1	0	1	1	0	0	2	4	2	2	0	2	2	2	0	1	1	0	4	0	0	1	1	1	8	0	0	1	3	2	3	2	4	1	2	4	1	1	2	3	1	0	2	2	3	3	1	1	4	0	1	5	0	6	2	1	1	0	1	2	2	12	1	8	5	2	1	2	4	4	2	4	0	4	1	3	1	0	3	1	2	2	3	3	1	2	15	1	1	3	1	0	2	0	0	1	2	0	1	0	1	1	1	4	1	3	0	2	4	4	2	6	0	6	6	2	0	2	3	1	4	1	2	0	1	3	2	2	1	1	3	1	6	4	1	1	1	2	29	1	0	1	2	1	11	1	2	3	0	17	1	2	4	10
Bussell's Blessings	0	1	3	1	1	0	1	0	0	7	2	1	0	0	0	6	0	1	1	1	1	2	2	1	4	1	0	2	1	5	0	0	1	0	3	1	1	1	0	0	0	1	0	2	1	1	3	0	0	3	0	2	1	0	14	2	1	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	5	1	1	3	0	0	0	0	0	0	0	0	0	6	0	2	0	2	0	0	0	3	1	5	0	0	0	0	2	0	3	2	1	0	1	0	0	2	1	0	0	1	0	1	0	0	0	0	4	0	1	3	1	4	0	0	0	0	4	0	0	5	2	1	0	1	2	1	1	2	0	1	2	1	2	0	1	1	1	3	0	1	1	2	4	0	2	5	3	0	2	0	2	0	0	1	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	3	2	0	0	1	2	0	3	6	1	15	3	0	0	1	1	0	1	0	2	0	1	1	1	2	0	1	1	0	1	0	0	0	0	0	3	2	0	1	2	0	1	0	7	0	0	1	1	2	0	8	0	0	0	1	1	0	1	2	1	0	4	0	0	1	1	1	0	1	0	2	2	0	1	4	1	3	3	0	7	3	1	2	1	2	1	1	3	3	0	0	1	0	0	1	0	0	0	3	0	3	1	0	0	0	0	2	0	0	2	0	0	3	2	0	0	0	1	0	0	0	1	2	3	0	6	0	1	1	1	0	0	0	0	8	0	0	0	5	2	0	0	2	1	0	14	0	0	1	10	0	0	2	2	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	7	2	1	0	2	0	4	0	0	1	1	1	0	0	4	0	0	1	0	0	2	1	0	0	6	0	1	0	1	2	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	2	0	5	0	7	0	0	0	1	0	1	2	1	1	2	4	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	2	0	0	5	0	0	2	1	0	0	5	0	0	2	3	2	2	0	0	0	1	1	0	0	0	0	1	0	2	0	1	1	0	0	0	0	1	1
Welcome to my crazy world of motherhood	0	0	1	0	1	0	1	0	0	19	0	0	2	1	0	1	0	0	0	2	0	2	0	1	2	0	0	0	0	2	0	0	1	0	3	6	0	0	0	0	0	1	0	6	3	0	0	0	0	3	0	1	1	0	4	1	0	0	1	0	2	1	2	0	0	0	0	1	0	0	1	0	0	0	0	2	1	2	0	1	0	0	1	0	0	2	2	1	1	0	0	0	0	1	6	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	3	0	6	0	3	0	4	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	11	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	5	0	1	0	0	1	2	0	4	0	0	1	2	0	0	3	1	1	1	0	0	2	0	0	0	0	6	0	0	2	3	0	3	0	2	0	0	0	0	0	0	0	0	4	1	1	0	1	0	2	0	0	2	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	3	0	1	1	0	1	0	1	0	0	0	1	0	0	0	3	1	0	0	3	1	4	0	0	0	0	0	0	0	1	0	0	4	3	1	2	0	0	0	2	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	0	2	0	0	0	3	1	0	0	0	0	1	0	0	0	5	0	2	0	0	0	0	6	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	1	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	0	1	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	4	0	0	0	1	0	0	1	0	0	0	1	0	3	0	2	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0
